	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA	sentiment_BREYER	sentiment_GINSBURG	sentiment_KENNEDY	sentiment_ROBERTS	sentiment_SCALIA
01-1120	-1	1/22/03	1	3	"""DAVID MEYER, INDIVIDUALLY AND IN HIS CAPACITY AS PRESIDENT AND DESIGNATED OFFICER/BROKER OF TRIAD, INC., ETC. v. EMMA MARY ELLEN HOLLEY, ET VIR, et al."""	-11.0	0.0	0.0	0.0	0.0	0.0	1/22/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1127	1	3/5/03	3	3	"""BILL LOCKYER, ATTORNEY GENERAL OF CALIFORNIA v. LEANDRO ANDRADE"""	-19.0	0.0	0.0	0.0	0.0	0.0	3/5/03	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1184	0	1/21/03	1	3	UNITED STATES v. FRANCISCO JIMENEZ RECIO AND ADRIAN LOPEZ-MEZA	14.0	0.0	0.0	0.0	0.0	0.0	1/21/03	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1209	-1	3/4/03	3	3	THE BOEING COMPANY AND CONSOLIDATED SUBSIDIARIES v. UNITED STATES	4.0	0.0	0.0	0.0	0.0	0.0	3/4/03	7	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1229	0	1/14/03	1	3	"""PIERCE COUNTY, WASHINGTON v. IGNACIO GUILLEN, LEGAL GUARDIAN OF JENNIFER GUILLEN AND ALMA GUILLEN, MINORS, et al."""	-8.0	0.0	0.0	0.0	0.0	0.0	1/14/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1231	1	3/5/03	3	3	"""CONNECTICUT DEPARTMENT OF PUBLIC SAFETY, et al. v. JOHN DOE, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED"""	-25.0	0.0	0.0	0.0	0.0	0.0	3/5/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1243	0	12/16/02	12	2	BORDEN RANCH PARTNERSHIP AND ANGELO K. TSAKOPOULOS v. UNITED STATES ARMY CORPS OF ENGINEERS AND ENVIRONMENTAL PROTECTION AGENCY	-2.0	0.0	0.0	0.0	0.0	0.0	12/16/02	4	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1269	-1	3/25/03	3	3	"""CITY OF CUYAHOGA FALLS, OHIO, et al. v. BUCKEYE COMMUNITY HOPE FOUNDATION et al."""	26.0	0.0	0.0	0.0	0.0	0.0	3/25/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1289	-1	4/7/03	4	3	"""STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY v. INEZ PREECE CAMPBELL AND MATTHEW C. BARNECK, SPECIAL ADMINISTRATOR AND PERSONAL REPRESENTATIVE OF THE ESTATE OF CURTIS B. CAMPBELL"""	4.0	0.0	0.0	0.0	0.0	0.0	4/7/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-131	-1	5/28/02	5	2	"""GARY E. GISBRECHT, BARBARA A. MILLER, AND NANCY SANDINE v. JO ANNE B. BARNHART, COMMISSIONER OF SOCIAL SECURITY"""	28.0	0.0	0.0	0.0	0.0	0.0	5/28/02	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1325	-1	3/26/03	3	3	ALLEN D. BROWN AND GREG HAYES v. LEGAL FOUNDATION OF WASHINGTON et al.	5.0	0.0	0.0	0.0	0.0	0.0	3/26/03	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1368	-1	5/27/03	5	3	"""NEVADA DEPARTMENT OF HUMAN RESOURCES, et al. v. WILLIAM HIBBS et al."""	29.0	0.0	0.0	0.0	0.0	0.0	5/27/03	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1375	-1	3/4/03	3	3	UNITED STATES v. NAVAJO NATION	-2.0	0.0	0.0	0.0	0.0	0.0	3/4/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1418	-1	3/31/03	3	3	"""A. ELLIOTT ARCHER, ET UX. v. ARLENE L. WARNER"""	45.0	0.0	0.0	0.0	0.0	0.0	3/31/03	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1420	-1	2/25/03	2	3	"""WASHINGTON STATE DEPARTMENT OF SOCIAL AND HEALTH SERVICES, et al. v. GUARDIANSHIP ESTATE OF DANNY KEFFELER et al."""	31.0	0.0	0.0	0.0	0.0	0.0	2/25/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1435	1	4/22/03	4	3	"""CLACKAMAS GASTROENTEROLOGY ASSOCIATES, P. C. v. DEBORAH WELLS"""	-7.0	0.0	0.0	0.0	0.0	0.0	4/22/03	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1437	-1	3/31/03	3	3	"""BEATRICE BRANCH, et al. v. JOHN ROBERT SMITH et al."""	-16.0	0.0	0.0	0.0	0.0	0.0	3/31/03	7	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1444	-1	5/27/03	5	3	BEN CHAVEZ v. OLIVERIO MARTINEZ	19.0	0.0	0.0	0.0	0.0	0.0	5/27/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-147	0	6/3/02	6	2	SECURITIES AND EXCHANGE COMMISSION v. CHARLES ZANDFORD	16.0	0.0	0.0	0.0	0.0	0.0	6/3/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1491	0	4/29/03	4	3	"""CHARLES DEMORE, DISTRICT DIRECTOR, SAN FRANCISCO DISTRICT OF IMMIGRATION AND NATURALIZATION SERVICE, et al. v. HYUNG JOON KIM"""	1.0	0.0	0.0	0.0	0.0	0.0	4/29/03	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1500	-1	3/4/03	3	3	ERICK CORNELL CLAY v. UNITED STATES	11.0	0.0	0.0	0.0	0.0	0.0	3/4/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1559	0	4/23/03	4	3	JOSEPH MASSARO v. UNITED STATES	0.0	0.0	0.0	0.0	0.0	0.0	4/23/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1572	-1	3/10/03	3	3	"""COOK COUNTY, ILLINOIS v. UNITED STATES ex rel. JANET CHANDLER"""	7.0	0.0	0.0	0.0	0.0	0.0	3/10/03	9	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1757	-1	6/26/03	6	3	MARION REYNOLDS STOGNER v. CALIFORNIA	5.0	0.0	0.0	0.0	0.0	0.0	6/26/03	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1806	1	5/5/03	5	3	"""ILLINOIS ex rel. LISA MADIGAN, ATTORNEY GENERAL OF ILLINOIS v. TELEMARKETING ASSOCIATES, INC., et al."""	-21.0	0.0	0.0	0.0	0.0	0.0	5/5/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1862	0	3/25/03	3	3	"""JEANNE WOODFORD, WARDEN v. ROBERT FREDERICK GARCEAU"""	11.0	0.0	0.0	0.0	0.0	0.0	3/25/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-188	-1	5/19/03	5	3	"""PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA v. PETER E. WALSH, ACTING COMMISSIONER, MAINE DEPARTMENT OF HUMAN SERVICES, et al."""	51.0	0.0	0.0	0.0	0.0	0.0	5/19/03	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-270	1	11/5/02	11	2	"""YELLOW TRANSPORTATION, INC. v. MICHIGAN, et al."""	-5.0	0.0	0.0	0.0	0.0	0.0	11/5/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-298	0	5/13/02	5	2	"""PAUL D. LAPIDES v. BOARD OF REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA, et al."""	9.0	0.0	0.0	0.0	0.0	0.0	5/13/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-301	0	6/17/02	6	2	"""TOM L. CAREY, WARDEN v. TONY EUGENE SAFFOLD"""	-2.0	0.0	0.0	0.0	0.0	0.0	6/17/02	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-309	0	6/27/02	6	2	LARRY HOPE v. MARK PELZER et al.	-2.0	0.0	0.0	0.0	0.0	0.0	6/27/02	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-332	1	6/27/02	6	2	"""BOARD OF EDUCATION OF INDEPENDENT SCHOOL DISTRICT NO. 92 OF POTTAWATOMIE COUNTY, et al. v. LINDSAY EARLS et al."""	-28.0	0.0	0.0	0.0	0.0	0.0	6/27/02	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-344	0	4/29/02	4	2	"""TOMMY G. THOMPSON, SECRETARY OF HEALTH AND HUMAN SERVICES, et al. v. WESTERN STATES MEDICAL CENTER et al."""	2.0	0.0	0.0	0.0	0.0	0.0	4/29/02	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-394	0	6/20/02	6	2	"""WARREN CHRISTOPHER, FORMER SECRETARY OF STATE, et al. v. JENNIFER K. HARBURY"""	10.0	0.0	0.0	0.0	0.0	0.0	6/20/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-400	1	5/28/02	5	2	"""RICKY BELL, WARDEN v. GARY BRADFORD CONE"""	-1.0	0.0	0.0	0.0	0.0	0.0	5/28/02	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-408	-1	6/3/02	6	2	"""THE HOLMES GROUP, INC. v. VORNADO AIR CIRCULATION SYSTEMS, INC."""	32.0	0.0	0.0	0.0	0.0	0.0	6/3/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-417	-1	6/10/02	6	2	ROBERT J. DEVLIN v. ROBERT A. SCARDELLETTI et al.	5.0	0.0	0.0	0.0	0.0	0.0	6/10/02	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-419	1	6/20/02	6	2	"""CITY OF COLUMBUS, et al. v. OURS GARAGE AND WRECKER SERVICE, INC., et al."""	21.0	0.0	0.0	0.0	0.0	0.0	6/20/02	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-455	0	6/10/02	6	2	"""FRANCONIA ASSOCIATES, et al. v. UNITED STATES"""	8.0	0.0	0.0	0.0	0.0	0.0	6/10/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-463	0	6/17/02	6	2	"""UNITED STATES v. FIOR D'ITALIA, INC."""	-1.0	0.0	0.0	0.0	0.0	0.0	6/17/02	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-488	0	6/24/02	6	2	TIMOTHY STUART RING v. ARIZONA	9.0	0.0	0.0	0.0	0.0	0.0	6/24/02	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-518	0	6/24/02	6	2	BE & K CONSTRUCTION COMPANY v. NATIONAL LABOR RELATIONS BOARD et al.	-4.0	0.0	0.0	0.0	0.0	0.0	6/24/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-521	0	6/27/02	6	2	"""REPUBLICAN PARTY OF MINNESOTA, et al. v. SUZANNE WHITE, CHAIRPERSON, MINNESOTA BOARD OF JUDICIAL STANDARDS, et al."""	-8.0	0.0	0.0	0.0	0.0	0.0	6/27/02	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-584	0	4/1/02	4	2	"""WANDA ADAMS, et al. v. FLORIDA POWER CORPORATION AND FLORIDA PROGRESS CORPORATION"""	2.0	0.0	0.0	0.0	0.0	0.0	4/1/02	9	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-593	1	4/22/03	4	3	"""DOLE FOOD COMPANY, et al. v. GERARDO DENNIS PATRICKSON et al."""	-31.0	0.0	0.0	0.0	0.0	0.0	4/22/03	9	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-595	0	6/24/02	6	2	UNITED STATES v. ANGELA RUIZ	0.0	0.0	0.0	0.0	0.0	0.0	6/24/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-618	0	1/15/03	1	3	"""ERIC ELDRED, et al. v. JOHN D. ASHCROFT, ATTORNEY GENERAL"""	12.0	0.0	0.0	0.0	0.0	0.0	1/15/03	7	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-631	0	6/17/02	6	2	"""UNITED STATES v. CHRISTOPHER DRAYTON AND CLIFTON BROWN, JR."""	7.0	0.0	0.0	0.0	0.0	0.0	6/17/02	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-651	1	6/10/02	6	2	JPMORGAN CHASE BANK v. TRAFFIC STREAM (BVI) INFRASTRUCTURE LIMITED	20.0	0.0	0.0	0.0	0.0	0.0	6/10/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-653	-1	1/27/03	1	3	FEDERAL COMMUNICATIONS COMMISSION v. NEXTWAVE PERSONAL COMMUNICATIONS INC. et al.	-1.0	0.0	0.0	0.0	0.0	0.0	1/27/03	8	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-679	1	6/20/02	6	2	GONZAGA UNIVERSITY AND ROBERTA S. LEAGUE v. JOHN DOE	6.0	0.0	0.0	0.0	0.0	0.0	6/20/02	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-682	1	6/17/02	6	2	"""KAY BARNES, ETC., et al. v. JEFFREY GORMAN"""	-3.0	0.0	0.0	0.0	0.0	0.0	6/17/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-687	0	5/20/02	5	2	"""UNITED STATES v. LEONARD COTTON, MARQUETTE HALL, LAMONT THOMAS, MATILDA HALL, JOVAN POWELL, JESUS HALL, AND STANLEY HALL, JR."""	-10.0	0.0	0.0	0.0	0.0	0.0	5/20/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-704	0	12/10/02	12	2	"""UNITED STATES, et al. v. THOMAS LAMAR BEAN"""	6.0	0.0	0.0	0.0	0.0	0.0	12/10/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-705	1	1/15/03	1	3	"""JO ANNE B. BARNHART, COMMISSIONER OF SOCIAL SECURITY v. PEABODY COAL COMPANY et al."""	1.0	0.0	0.0	0.0	0.0	0.0	1/15/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-706	1	12/3/02	12	2	"""REX R. SPRIETSMA, ADMINISTRATOR OF THE ESTATE OF JEANNE SPRIETSMA, DECEASED v. MERCURY MARINE, A DIVISION OF BRUNSWICK CORPORATION"""	4.0	0.0	0.0	0.0	0.0	0.0	12/3/02	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-729	1	3/5/03	3	3	DELBERT W. SMITH AND BRUCE M. BOTELHO v. JOHN DOE I et al.	-29.0	0.0	0.0	0.0	0.0	0.0	3/5/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-757	0	11/5/02	11	2	"""SYNGENTA CROP PROTECTION, INC., ROBERT BABB, EDEE TEMPLET, AND KENNETH A. DEVUN v. HURLEY HENSON"""	-12.0	0.0	0.0	0.0	0.0	0.0	11/5/02	9	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-800	1	12/10/02	12	2	"""KAREN HOWSAM, ETC. v. DEAN WITTER REYNOLDS, INC."""	6.0	0.0	0.0	0.0	0.0	0.0	12/10/02	8	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-896	0	10/15/02	10	2	"""FORD MOTOR COMPANY AND CITIBANK (SOUTH DAKOTA), N. A. v. JOHN B. MCCAULEY et al."""	-8.0	0.0	0.0	0.0	0.0	0.0	10/15/02	9	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-950	1	6/9/03	6	3	"""HILLSIDE DAIRY INC., A&A DAIRY, L&S DAIRY, AND MILKY WAY FARMS v. WILLIAM J. LYONS, JR., SECRETARY, CALIFORNIA DEPARTMENT OF FOOD AND AGRICULTURE, et al."""	3.0	0.0	0.0	0.0	0.0	0.0	6/9/03	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-963	1	3/10/03	3	3	NORFOLK & WESTERN RAILWAY COMPANY v. FREEMAN AYERS et al.	-2.0	0.0	0.0	0.0	0.0	0.0	3/10/03	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-10038	0	6/24/04	6	4	"""ROBERT JAMES TENNARD v. DOUG DRETKE, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION"""	1.0	0.0	0.0	0.0	0.0	0.0	6/24/04	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1016	1	5/17/04	5	4	"""LEE M. TILL, ET UX. v. SCS CREDIT CORPORATION"""	-18.0	0.0	0.0	0.0	0.0	0.0	5/17/04	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-102	0	6/26/03	6	3	JOHN GEDDES LAWRENCE AND TYRON GARNER v. TEXAS	1.0	0.0	0.0	0.0	0.0	0.0	6/26/03	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1060	1	1/13/04	1	4	ILLINOIS v. ROBERT S. LIDSTER	0.0	0.0	0.0	0.0	0.0	0.0	1/13/04	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1080	-1	2/24/04	2	4	"""GENERAL DYNAMICS LAND SYSTEMS, INC. v. DENNIS CLINE et al."""	-3.0	0.0	0.0	0.0	0.0	0.0	2/24/04	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1183	0	6/28/04	6	4	UNITED STATES v. SAMUEL FRANCIS PATANE	14.0	0.0	0.0	0.0	0.0	0.0	6/28/04	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1196	0	1/13/04	1	4	SECURITIES AND EXCHANGE COMMISSION v. CHARLES E. EDWARDS	1.0	0.0	0.0	0.0	0.0	0.0	1/13/04	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1205	0	5/3/04	5	4	"""EDITH JONES et al., ON BEHALF OF HERSELF AND A CLASS OF OTHERS SIMILARLY SITUATED v. R. R. DONNELLEY & SONS COMPANY"""	1.0	0.0	0.0	0.0	0.0	0.0	5/3/04	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1238	1	3/24/04	3	4	"""JEREMIAH W. (JAY) NIXON, ATTORNEY GENERAL OF MISSOURI v. MISSOURI MUNICIPAL LEAGUE et al."""	2.0	0.0	0.0	0.0	0.0	0.0	3/24/04	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1290	0	2/25/04	2	4	UNITED STATES POSTAL SERVICE v. FLAMINGO INDUSTRIES (USA) LTD. et al.	7.0	0.0	0.0	0.0	0.0	0.0	2/25/04	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1315	0	2/25/04	2	4	"""GARY LOCKE, GOVERNOR OF WASHINGTON, et al. v. JOSHUA DAVEY"""	-15.0	0.0	0.0	0.0	0.0	0.0	2/25/04	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1343	1	4/28/04	4	4	ENGINE MANUFACTURERS ASSOCIATION AND WESTERN STATES PETROLEUM ASSOCIATION v. SOUTH COAST AIR QUALITY MANAGEMENT DISTRICT et al.	-17.0	0.0	0.0	0.0	0.0	0.0	4/28/04	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1348	-1	2/24/04	2	4	"""OLYMPIC AIRWAYS v. RUBINA HUSAIN, INDIVIDUALLY AND AS PERSONAL REPRESENTATIVE OF THE ESTATE OF ABID M. HANSON, DECEASED, et al."""	-4.0	0.0	0.0	0.0	0.0	0.0	2/24/04	6	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1371	1	6/28/04	6	4	MISSOURI v. PATRICE SEIBERT.	-7.0	0.0	0.0	0.0	0.0	0.0	6/28/04	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1377	0	2/24/04	2	4	"""BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR"""	13.0	0.0	0.0	0.0	0.0	0.0	2/24/04	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1389	0	3/23/04	3	4	UNITED STATES v. ABEL COSMO GALLETTI et al.	12.0	0.0	0.0	0.0	0.0	0.0	3/23/04	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02-1472	0	3/1/05	3	5	"""CHEROKEE NATION OF OKLAHOMA AND SHOSHONE-PAIUTE TRIBES OF THE DUCK VALLEY RESERVATION v. MICHAEL O. LEAVITT, SECRETARY OF HEALTH AND HUMAN SERVICES, et al."""	-20.0	-1.0	0.0	-1.0	0.0	-1.0	3/1/05	8	0	1	-1.0	-1.0	-1.0	0.0	-1.0	0.1389115646258504	-0.03415178571428572	0.023214285714285708	0.0	0.07023926523926523
02-1541	1	3/8/04	3	4	IOWA v. FELIPE EDGARDO TOVAR	-8.0	0.0	0.0	0.0	0.0	0.0	3/8/04	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
